2022-05-09 17:33:04,109 [INFO] in __init__ : method: GET,  path: /login,  status: 302,  time: 2022-05-09T17:33:04Z,  ip: 192.168.48.1, 
2022-05-09 17:33:04,204 [INFO] in __init__ : method: GET,  path: /dashboard,  status: 200,  time: 2022-05-09T17:33:04Z,  ip: 192.168.48.1, 
2022-05-09 17:33:06,898 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T17:33:06Z,  ip: 192.168.48.1, 
2022-05-09 17:33:08,177 [INFO] in __init__ : method: GET,  path: /transactions/upload,  status: 200,  time: 2022-05-09T17:33:08Z,  ip: 192.168.48.1, 
2022-05-09 17:41:46,170 [INFO] in __init__ : method: POST,  path: /transactions/upload,  status: 302,  time: 2022-05-09T17:41:46Z,  ip: 192.168.48.1, 
2022-05-09 17:41:46,372 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T17:41:46Z,  ip: 192.168.48.1, 
2022-05-09 17:52:04,484 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T17:52:04Z,  ip: 192.168.48.1, 
2022-05-09 17:52:10,734 [INFO] in __init__ : method: GET,  path: /transactions/upload,  status: 200,  time: 2022-05-09T17:52:10Z,  ip: 192.168.48.1, 
2022-05-09 17:52:19,414 [INFO] in __init__ : method: POST,  path: /transactions/upload,  status: 302,  time: 2022-05-09T17:52:19Z,  ip: 192.168.48.1, 
2022-05-09 17:52:19,460 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T17:52:19Z,  ip: 192.168.48.1, 
2022-05-09 17:53:18,175 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T17:53:18Z,  ip: 192.168.48.1, 
2022-05-09 17:53:19,409 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T17:53:19Z,  ip: 192.168.48.1, 
2022-05-09 17:53:20,888 [INFO] in __init__ : method: GET,  path: /transactions/upload,  status: 200,  time: 2022-05-09T17:53:20Z,  ip: 192.168.48.1, 
2022-05-09 18:02:41,322 [INFO] in __init__ : method: GET,  path: /,  status: 200,  time: 2022-05-09T18:02:41Z,  ip: 192.168.48.1, 
2022-05-09 18:02:43,210 [INFO] in __init__ : method: GET,  path: /register,  status: 200,  time: 2022-05-09T18:02:43Z,  ip: 192.168.48.1, 
2022-05-09 18:02:51,464 [INFO] in __init__ : method: POST,  path: /register,  status: 302,  time: 2022-05-09T18:02:51Z,  ip: 192.168.48.1, 
2022-05-09 18:02:51,487 [INFO] in __init__ : method: GET,  path: /login,  status: 302,  time: 2022-05-09T18:02:51Z,  ip: 192.168.48.1, 
